Municipality ID,Municipality,Year,Worked Hours Week,Worked Days Week,Monthly Wage,Number of Records
26041,Nacozari de García,2015,21.19171157664411,2.571214392803598,3877.9236395315856,167
26041,Nacozari de García,2016,26.262538362406833,3.028205502929493,3956.4424264969643,124
26042,Navojoa,2013,21.50742998026878,2.823260090338415,2030.62555435784,1375
26042,Navojoa,2014,23.59025353450236,3.0110850286906623,2346.888544467183,1241
26042,Navojoa,2015,23.259394894884863,3.0334725070644586,2234.0114474290717,1613
26042,Navojoa,2016,23.440537772828627,2.9866583478780506,2123.622441511808,1491
26042,Navojoa,2017,21.859007310732036,2.898639329812528,2381.927908923241,1234
26042,Navojoa,2018,23.797957945520995,3.0868935777550117,2627.773586619294,1003
26042,Navojoa,2019,22.966154599908332,2.984203372686612,3074.5032912932847,912
26042,Navojoa,2020,22.040281479844438,2.8653429962888,2598.3359053899994,536
26042,Navojoa,2021,22.786245009936163,2.9975423386033095,2959.3623995392436,827
26042,Navojoa,2022,23.010562322709827,2.9398590021691975,3095.3127815785083,390
26043,Nogales,2013,26.802933647075516,3.1741535168882766,4799.777595319881,1010
26043,Nogales,2014,27.380480656227547,3.2251991632210597,3568.727023867866,1139
26043,Nogales,2015,26.555811958402955,3.091763988485785,3363.957694526563,1244
26043,Nogales,2016,26.07997377815464,3.067244782351558,3322.817485980576,1216
26043,Nogales,2017,27.25119962047272,3.207274474372843,3397.9884087049536,1186
26043,Nogales,2018,25.024153472609395,2.9728700266374153,3325.682794163641,1200
26043,Nogales,2019,26.66989693800443,3.162783050954828,4179.0162066609455,1155
26043,Nogales,2020,26.3862480388222,3.165041777648046,4171.2913434524025,822
26043,Nogales,2021,26.162000653172402,3.1590599876314163,4527.829034208167,1284
26043,Nogales,2022,24.63185152590654,2.7774857136240207,5395.346535083402,545
26048,Puerto Peñasco,2013,22.57657777041577,2.9546960410800067,2768.4377174093092,155
26048,Puerto Peñasco,2014,22.746330824874946,2.8544248825546967,2796.808416754896,364
26048,Puerto Peñasco,2015,21.925836856599823,2.7726620379349134,2850.9288235522286,107
26048,Puerto Peñasco,2016,23.0994945517262,3.0185281186756656,2296.6418545066645,448
26048,Puerto Peñasco,2017,22.376465374278034,2.930071862907684,2902.791592802272,444
26048,Puerto Peñasco,2018,24.728553832500708,3.1342121168073076,3970.9995333216025,268
26048,Puerto Peñasco,2019,26.08671702284451,3.130840088430361,4026.499161753869,285
26048,Puerto Peñasco,2020,23.514885148631183,2.862038832099636,3426.6430868875573,251
26048,Puerto Peñasco,2021,21.530301223801533,2.7731623815160833,3997.924992122363,451
26049,Quiriego,2015,16.939345570630486,2.3953711093375896,1832.0635275339187,87
26049,Quiriego,2016,18.701732889900228,2.5256432697356903,1530.7213373008926,120
26051,Rosario,2020,17.609193438140807,1.8715823650034176,1398.3962747778537,58
26051,Rosario,2021,23.35915615636541,3.07701553898683,2397.579471813811,213
26051,Rosario,2022,24.43615037593985,2.852872180451128,2914.798796992481,75
26052,Sahuaripa,2014,20.087306438467806,2.714522208638957,3251.670868989405,86
26052,Sahuaripa,2015,20.476189304562844,2.774010604401688,2551.8360623469925,170
26052,Sahuaripa,2016,20.71753745451108,2.7059761803487876,2224.862274918474,348
26052,Sahuaripa,2017,26.359357810781077,3.4516868353502015,3119.964956912358,171
26052,Sahuaripa,2018,23.78413948256468,3.4435883014623174,2937.3872328458942,70
26052,Sahuaripa,2021,21.867963900740328,2.7887209750521684,2901.6260350625357,114
26052,Sahuaripa,2022,22.8,2.8666666666666667,2784,30
26055,San Luis Río Colorado,2013,23.360873255682503,2.8813509634821397,2606.013180458662,788
26055,San Luis Río Colorado,2014,23.443921225266227,2.915265160269516,2739.3960781525006,774
26055,San Luis Río Colorado,2015,24.231756552122885,2.9330583414888105,2774.1821604046786,724
26055,San Luis Río Colorado,2016,22.47551516176986,2.857702952586988,2807.8102875237187,711
26055,San Luis Río Colorado,2017,21.38555086346389,2.6670124656785084,2382.9196989857187,1300
26055,San Luis Río Colorado,2018,22.811557354434072,2.770579623476421,2436.243302719836,1374
26055,San Luis Río Colorado,2019,24.94882082847639,3.104671907428994,3360.5526706090845,1435
26055,San Luis Río Colorado,2020,21.179696922654376,2.6486295708062824,3326.9534211968385,1078
26055,San Luis Río Colorado,2021,23.28602466073912,2.9479084560429354,3605.2887357354793,1203
26055,San Luis Río Colorado,2022,27.135386535448937,3.269427525822115,4547.9635467788175,457
26056,San Miguel de Horcasitas,2013,21.67426009909036,3.121503656906179,1805.0208666474427,115
26056,San Miguel de Horcasitas,2014,26.185971290962318,3.727925205401832,2266.6441826423647,136
26056,San Miguel de Horcasitas,2015,34.21338229294166,4.364341085271318,2989.7588739290086,74
26057,San Pedro de la Cueva,2013,17.054368126167255,2.27464204191741,1545.463892923843,148
26058,Santa Ana,2013,22.095118367346938,2.8064326530612247,2332.9263673469386,154
26058,Santa Ana,2014,22.14058950517122,2.831522582647835,2620.242983929,314
26058,Santa Ana,2015,26.668378756114606,3.2688446307943164,3783.5000989983696,367
26058,Santa Ana,2016,28.70989575075313,3.293235690502616,4275.223660218804,206
26058,Santa Ana,2018,17.408132530120483,2.3870481927710845,3330.970481927711,80
26058,Santa Ana,2019,13.408282413477476,1.9248447665932762,3303.7236721668355,103
26058,Santa Ana,2021,23.86185135684816,3.0475448893021095,3572.890429426463,380
26058,Santa Ana,2022,23.120928153378753,2.8339886919593704,4124.486709327064,322
26060,Sáric,2014,22.232977191786013,2.9226490869136925,2735.31179813594,184
26060,Sáric,2015,16.2242100532393,2.38971859226993,1696.2163797275807,165
26060,Sáric,2016,18.52523391495972,2.597702395144684,1810.0631841335212,79
26060,Sáric,2017,14.693877551020408,2.2653061224489797,1823.469387755102,49
26060,Sáric,2018,14.83870913352105,2.032625739769681,1567.4480264378087,182
26060,Sáric,2019,23.214285714285715,3.6666666666666665,2742.6190476190477,42
26060,Sáric,2020,14.655053957458621,2.33736423887019,1618.1063707970436,115
26060,Sáric,2021,10.321824415915795,1.7895702097121442,1412.5962841878638,44
26063,Tepache,2013,11.591621205763044,1.9983214435585397,926.2624143236816,89
26063,Tepache,2014,15.86965092025946,2.274817208737308,1424.4420225079648,128
26066,Ures,2013,16.975361711050535,2.3471377647305514,2333.1746697420845,92
26066,Ures,2014,20.53556076877122,2.7110259511285317,2729.37809089452,190
26066,Ures,2015,20.4328710411923,2.9587663009728833,2281.3491513144277,234
26066,Ures,2019,21.98103735367945,3.095161170067351,2968.583380967766,180
26066,Ures,2020,15.952380952380953,2.5238095238095237,2045.2380952380952,42
26066,Ures,2022,23.270833333333332,2.875,2670.1458333333335,48
26067,Villa Hidalgo,2020,15.590909090909092,2.5,5800.477272727273,44
26067,Villa Hidalgo,2021,14.521739130434783,1.9782608695652173,2498.1521739130435,46
26069,Yécora,2016,25.512739769361286,3.6779397808644636,3818.0378310758347,125
26069,Yécora,2017,22.918698541586338,3.1800675905554674,2865.0335911451834,168
26069,Yécora,2018,18.983618356202964,2.6424358111808237,2230.081657878679,134
26069,Yécora,2020,15.863636363636363,2.1363636363636362,2424.3863636363635,44
26069,Yécora,2021,18.52449313910271,2.5407162107413996,1258.8864737277836,251
26069,Yécora,2022,6.555342326578992,1.0447592707569002,782.1583789580628,80
26071,Benito Juárez,2013,21.093980554761224,2.767381565151082,1777.4310408921933,491
26071,Benito Juárez,2014,21.329517337316563,2.667073351501123,2544.424864026636,400
26071,Benito Juárez,2015,22.59123311429884,2.835574436455048,2337.3516045610104,401
26071,Benito Juárez,2016,25.21727270890441,3.034503660499606,2642.8827831920094,300
26071,Benito Juárez,2017,18.382547021591776,2.38316905969642,2214.649593751403,343
26071,Benito Juárez,2018,22.645871297780314,2.987183568621424,2564.8192471512943,424
26071,Benito Juárez,2019,23.31928410260904,3.269414445004272,2260.1103419571077,204
26071,Benito Juárez,2021,23.972369594461828,2.7637207333847247,2558.688114995692,211
26071,Benito Juárez,2022,24.053571428571427,2.892857142857143,3307.5,56
26072,San Ignacio Río Muerto,2013,15.414716277516488,1.9147301923023405,1683.7302757910556,164
26072,San Ignacio Río Muerto,2020,28.444444444444443,3.1555555555555554,2764.4666666666667,45
26072,San Ignacio Río Muerto,2021,29.51503570531453,3.532888362579395,3033.6974198873218,201
26999,No Informado,2022,28.784853875476493,3.9907496823379924,4616.179415501906,72
