,Year,amount_executed,Municipality,number_crimes
439,2021-01-01,6779900503.0,Agua Prieta,1634
440,2021-01-01,6779900503.0,Álamos,147
441,2021-01-01,6779900503.0,Altar,71
442,2021-01-01,6779900503.0,Arivechi,15
443,2021-01-01,6779900503.0,Arizpe,21
444,2021-01-01,6779900503.0,Atil,3
445,2021-01-01,6779900503.0,Bacadéhuachi,15
446,2021-01-01,6779900503.0,Bacanora,13
447,2021-01-01,6779900503.0,Bacerac,15
448,2021-01-01,6779900503.0,Bacoachi,6
449,2021-01-01,6779900503.0,Bácum,196
450,2021-01-01,6779900503.0,Banámichi,20
451,2021-01-01,6779900503.0,Baviácora,33
452,2021-01-01,6779900503.0,Bavispe,12
453,2021-01-01,6779900503.0,Benjamín Hill,96
454,2021-01-01,6779900503.0,Caborca,1464
455,2021-01-01,6779900503.0,Cajeme,7062
456,2021-01-01,6779900503.0,Cananea,452
457,2021-01-01,6779900503.0,Carbó,22
458,2021-01-01,6779900503.0,La Colorada,11
459,2021-01-01,6779900503.0,Cucurpe,26
460,2021-01-01,6779900503.0,Cumpas,74
461,2021-01-01,6779900503.0,Divisaderos,4
462,2021-01-01,6779900503.0,Empalme,629
463,2021-01-01,6779900503.0,Etchojoa,526
464,2021-01-01,6779900503.0,Fronteras,74
465,2021-01-01,6779900503.0,Granados,2
466,2021-01-01,6779900503.0,Guaymas,1855
467,2021-01-01,6779900503.0,Hermosillo,12111
468,2021-01-01,6779900503.0,Huachinera,8
469,2021-01-01,6779900503.0,Huásabas,3
470,2021-01-01,6779900503.0,Huatabampo,629
471,2021-01-01,6779900503.0,Huépac,5
472,2021-01-01,6779900503.0,Imuris,146
473,2021-01-01,6779900503.0,Magdalena,585
474,2021-01-01,6779900503.0,Mazatán,14
475,2021-01-01,6779900503.0,Moctezuma,32
476,2021-01-01,6779900503.0,Naco,64
477,2021-01-01,6779900503.0,Nácori Chico,16
478,2021-01-01,6779900503.0,Nacozari de García,234
479,2021-01-01,6779900503.0,Navojoa,1991
480,2021-01-01,6779900503.0,Nogales,2685
481,2021-01-01,6779900503.0,Ónavas,6
482,2021-01-01,6779900503.0,Opodepe,18
483,2021-01-01,6779900503.0,Oquitoa,0
484,2021-01-01,6779900503.0,Pitiquito,97
485,2021-01-01,6779900503.0,Puerto Peñasco,521
486,2021-01-01,6779900503.0,Quiriego,26
487,2021-01-01,6779900503.0,Rayón,8
488,2021-01-01,6779900503.0,Rosario,46
489,2021-01-01,6779900503.0,Sahuaripa,82
490,2021-01-01,6779900503.0,San Felipe de Jesús,3
491,2021-01-01,6779900503.0,San Javier,0
492,2021-01-01,6779900503.0,San Luis Río Colorado,2398
493,2021-01-01,6779900503.0,San Miguel de Horcasitas,36
494,2021-01-01,6779900503.0,San Pedro de la Cueva,2
495,2021-01-01,6779900503.0,Santa Ana,259
496,2021-01-01,6779900503.0,Santa Cruz,3
497,2021-01-01,6779900503.0,Sáric,11
498,2021-01-01,6779900503.0,Soyopa,6
499,2021-01-01,6779900503.0,Suaqui Grande,2
500,2021-01-01,6779900503.0,Tepache,0
501,2021-01-01,6779900503.0,Trincheras,11
502,2021-01-01,6779900503.0,Tubutama,4
503,2021-01-01,6779900503.0,Ures,68
504,2021-01-01,6779900503.0,Villa Hidalgo,3
505,2021-01-01,6779900503.0,Villa Pesqueira,10
506,2021-01-01,6779900503.0,Yécora,88
507,2021-01-01,6779900503.0,General Plutarco Elías Calles,120
508,2021-01-01,6779900503.0,Benito Juárez,318
509,2021-01-01,6779900503.0,San Ignacio Río Muerto,60
510,2021-01-01,6779900503.0,No Informado,22
